name,n_phases,r1,x1,r0,x0,c1,c0,units,r_matrix,x_matrix,c_matrix,rg,xg,rho,symmetrical_components
oh-1x_2aaac_default,1,0.86867666,0.56322436,1.2522863,1.5109443,8.785800000000001E-9,5.0003E-9,km,[  0.99654654 ],[  0.87913101 ],[  7.52396667 ],0.01805,0.155081,100,true
oh-1x_477aac_477aacn,1,0.12241009,0.42817866,0.26010404,1.0885861,1.02836E-8,5.578E-9,km,[  0.16830807 ],[  0.64831447 ],[  8.71506667 ],0.01805,0.155081,100,true
ug-1c1/0alaer_15,1,0.640012,0.161557,1.50745,1.75537,1.944921E-7,1.11946E-8,km,[  0.92915800 ],[  0.69282800 ],[133.39293333 ],0.01805,0.155081,100,true
ug-1c1/0alurd_15,1,0.571599,0.394881,1.10175,0.422781,3.891497E-7,3.60472E-8,km,[  0.74831600 ],[  0.40418100 ],[271.44886667 ],0.01805,0.155081,100,true
ug-3c1/0alurd_15,3,0.571599,0.394881,1.10175,0.422781,3.891497E-7,2.23987E-8,km,[  0.74831600 |  0.17671700   0.74831600 |  0.17671700   0.17671700   0.74831600 ],[  0.40418100 |  0.00930000   0.40418100 |  0.00930000   0.00930000   0.40418100 ],[266.89936667 |-122.25033333 266.89936667 |-122.25033333 -122.25033333 266.89936667 ],0.01805,0.155081,100,true
1/0a,1,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.25386817 ],[  0.07582623 ],[ 15.00000000 ],0.01805,0.155081,100,false
1/0a3,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.20176167 |  0.01804955   0.20176167 |  0.01804955   0.01804955   0.20176167 ],[  0.28577060 |  0.25445134   0.28577060 |  0.24648656   0.25445134   0.28577060 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
3/0,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.13376924 |  0.01804955   0.13376924 |  0.01804955   0.01804955   0.13376924 ],[  0.28043632 |  0.24912419   0.28043632 |  0.24115942   0.24912419   0.28043632 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
750a,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.04437530 |  0.01804955   0.04437530 |  0.01804955   0.01804955   0.04437530 ],[  0.26150996 |  0.24834508   0.26150996 |  0.24038031   0.24834508   0.26150996 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
3/0a,1,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.16294039 ],[  0.06292751 ],[ 15.00000000 ],0.01805,0.155081,100,false
750a1,1,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.03934840 ],[  0.02733673 ],[ 15.00000000 ],0.01805,0.155081,100,false
